ID_HoaDon,ID_PhongTro,Thang,SoTien
1001,101,2024-05,1500000
1001,102,2024-05,1500000
1001,103,2024-05,1500000
1002,102,2024-05,1500000
1002,103,2024-05,1500000
1002,104,2024-05,1500000
1003,103,2024-05,1300000
1003,104,2024-05,1300000
1003,105,2024-05,1300000
1004,104,2024-05,1200000
1004,105,2024-05,1200000
1005,105,2024-05,1500000
1005,106,2024-05,1500000
1005,107,2024-05,1500000
1006,106,2024-05,1400000
1006,107,2024-05,1400000
1006,108,2024-05,1400000
1007,107,2024-05,1200000
1007,108,2024-05,1200000
1007,109,2024-05,1200000
1008,108,2024-05,1500000
1008,109,2024-05,1500000
1008,110,2024-05,1500000
1009,109,2024-05,1500000
1010,110,2024-05,1400000
1010,101,2024-05,1400000
1010,102,2024-05,1400000
